
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 13:59:36 2014


 1390917578.469625	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.509047	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.537381	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.567903	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.599906	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.635972	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.670169	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.705862	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.740952	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.779464	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.812035	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.850908	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.886693	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.918722	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.950757	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917578.985787	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.020678	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.05725	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.08926	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.121979	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
