
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 14:01:52 2014


 1390917714.341417	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.372368	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.412335	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.436423	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.469172	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.499797	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.529804	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.557478	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.589103	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.620912	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.656493	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.690648	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.733261	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.757904	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.789673	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.820567	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.84898	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.881735	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.922478	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.950861	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917714.992374	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.017182	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.047166	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
