1395147961.617053	1.2529540061950684	ci	0.0	v	20.112	20.102386045518802	i	0.056	0.9990253815291479	p	1.131	20.082793888770638	
1395147962.866662	2.5025649070739746	ci	0.0	v	20.112	20.10174649574511	i	0.031	0.3701513846753177	p	1.005	7.440689299792268	
1395147964.114132	3.750035047531128	ci	0.0	v	20.112	20.10174649574511	i	0.056	0.3701513846753177	p	1.131	7.440689299792268	
1395147965.364317	5.000217914581299	ci	0.0	v	20.112	20.10430469483988	i	0.062	0.3701513846753177	p	1.257	7.441636220729472	
1395147966.615543	6.251444101333618	ci	0.0	v	20.112	20.10430469483988	i	0.062	0.3701513846753177	p	1.257	7.441636220729472	
1395147967.864549	7.500498056411743	ci	0.0	v	20.112	20.10430469483988	i	0.068	0.3701513846753177	p	1.382	7.441636220729472	
1395147969.108728	8.74462890625	ci	0.0	v	20.112	20.10174649574511	i	0.081	0.3701513846753177	p	1.382	7.440689299792268	
1395147970.367371	10.003273963928223	ci	0.0	v	20.112	20.10174649574511	i	0.062	0.3701513846753177	p	1.257	7.554576377833006	
1395147971.614407	11.250308990478516	ci	0.0	v	20.11	20.10174649574511	i	0.056	0.37581691617850543	p	1.131	7.554576377833006	
1395147973.065676	12.701578140258789	ci	1.0	v	20.075	20.07232720615527	i	0.962	1.0046909130323354	p	19.322	20.166484747435923	
1395147974.316154	13.952057123184204	ci	1.0	v	20.075	20.07232720615527	i	0.962	1.0046909130323354	p	19.322	20.166484747435923	
1395147975.563992	15.199974060058594	ci	1.0	v	20.075	20.076164504797422	i	0.962	1.0046909130323354	p	19.322	20.170340046512287	
1395147976.811544	16.447492122650146	ci	1.0	v	20.075	20.076164504797422	i	0.962	1.0046909130323354	p	19.322	20.167769847128046	
1395147978.06179	17.697695016860962	ci	1.0	v	20.075	20.073606305702654	i	0.987	1.0046909130323354	p	19.322	20.167769847128046	
1395147979.307217	18.943328142166138	ci	1.0	v	20.075	20.07296675592896	i	0.981	1.0046909130323354	p	19.698	20.167127297281983	
1395147980.556816	20.1927170753479	ci	1.0	v	20.075	20.07296675592896	i	0.981	1.0046909130323354	p	19.698	20.167127297281983	
1395147981.80531	21.44144296646118	ci	1.0	v	20.075	20.071048106607883	i	0.975	1.0046909130323354	p	19.698	20.1651996477438	
1395147983.254129	22.890032052993774	ci	2.0	v	20.035	20.04418701611281	i	1.9	2.0131555205997387	p	38.068	40.35206574742111	
1395147984.502309	24.138211011886597	ci	2.0	v	20.027	20.04418701611281	i	1.9	2.0131555205997387	p	38.05	40.35206574742111	
1395147985.750523	25.38642191886902	ci	2.0	v	20.025	20.041628817018044	i	1.9	2.0131555205997387	p	38.047	40.34691569479068	
1395147987.000388	26.63628911972046	ci	2.0	v	20.028	20.04738476498127	i	1.9	2.0131555205997387	p	38.071	40.35850331320914	
1395147988.253109	27.889034032821655	ci	2.0	v	20.035	20.04738476498127	i	1.9	2.0131555205997387	p	38.066	40.35850331320914	
1395147989.500083	29.135985136032104	ci	2.0	v	20.025	20.040349717470658	i	1.9	2.0131555205997387	p	38.047	40.34434066847547	
1395147990.752799	30.388701915740967	ci	2.0	v	20.025	20.040349717470658	i	1.9	2.0131555205997387	p	38.047	40.34434066847547	
1395147992.000712	31.63661503791809	ci	2.0	v	20.025	20.03971016769697	i	1.9	2.0131555205997387	p	38.047	40.34305315531787	
1395147993.451794	33.08769392967224	ci	3.0	v	20.0	20.016046826070358	i	3.0	3.021620128167142	p	60.0	60.48088997599024	
1395147994.701793	34.33791399002075	ci	3.0	v	20.0	20.016046826070358	i	3.0	3.021620128167142	p	60.0	60.48088997599024	
1395147995.947137	35.583038091659546	ci	3.0	v	20.0	20.01668637584405	i	3.0	3.021620128167142	p	60.0	60.48282245245939	
1395147997.195785	36.83168911933899	ci	3.0	v	20.0	20.018605025165126	i	3.0	3.021620128167142	p	60.0	60.488619881866846	
1395147998.443057	38.078957080841064	ci	3.0	v	20.0	20.018605025165126	i	3.0	3.021620128167142	p	60.0	60.488619881866846	
1395147999.687159	39.32306408882141	ci	3.0	v	20.0	20.018605025165126	i	3.0	3.021620128167142	p	60.0	60.488619881866846	
1395148000.935773	40.57167601585388	ci	3.0	v	20.0	20.018605025165126	i	3.0	3.021620128167142	p	60.0	60.490552358336	
1395148002.179596	41.815489053726196	ci	3.0	v	20.0	20.019244574938817	i	3.0	3.021620128167142	p	60.0	60.490552358336	
1395148003.634474	43.270384073257446	ci	4.0	v	0.0	0.05569838913722494	i	3.293	0.37581691617850543	p	0.0	0.020932396841662242	
1395148004.881662	44.51756000518799	ci	4.0	v	0.0	0.05569838913722494	i	3.287	0.3701513846753177	p	0.0	0.020616835863328485	
1395148006.128349	45.764251947402954	ci	4.0	v	0.0	0.05569838913722494	i	3.293	0.3701513846753177	p	0.0	0.020616835863328485	
1395148007.383343	47.01924705505371	ci	4.0	v	0.0	0.05569838913722494	i	3.287	0.37581691617850543	p	0.0	0.020932396841662242	
1395148008.628111	48.26401400566101	ci	4.0	v	0.0	0.05569838913722494	i	3.293	0.37581691617850543	p	0.0	0.020932396841662242	
1395148009.874607	49.51050806045532	ci	4.0	v	0.0	0.05569838913722494	i	3.293	0.3701513846753177	p	0.0	0.020616835863328485	
1395148011.120438	50.75657796859741	ci	4.0	v	0.0	0.05569838913722494	i	3.287	0.3701513846753177	p	0.0	0.020616835863328485	
1395148012.573109	52.20901298522949	ci	5.0	v	0.0	0.05569838913722494	i	3.287	0.3701513846753177	p	0.0	0.020616835863328485	
