1395320193.808397	2.51863694190979	ci	0.0	v	20.45	20.428719131459665	i	0.043	0	p	0.894	0.0	e	-0.020641318766639216	-0.037
1395320197.244562	5.954830884933472	ci	0.0	v	20.45	20.428719131459665	i	0.015	0	p	0.511	0.0	e	-0.02128086854033384	-0.015
1395320200.884298	9.594534873962402	ci	0.2	v	20.437	20.42104453417536	i	0.221	0	p	4.406	0.0	e	-0.0159554658246428	-0.218
1395320204.524892	13.235415935516357	ci	0.6	v	20.412	20.404796081454574	i	0.575	0.5362961956521739	p	11.737	10.943357499653034	e	-0.007203918545425125	-0.050703804347826065
1395320208.164595	16.874834060668945	ci	1.0	v	20.4	20.3863134071761	i	0.95	0.9374397644927537	p	19.38	19.110341299909397	e	-0.01368659282389828	-0.012560235507246276
1395320211.80528	20.515522956848145	ci	1.3	v	20.387	20.371445465053988	i	1.256	1.2425348731884058	p	25.611	25.311436744688432	e	-0.014833634493399472	-0.013465126811594175
1395320215.44609	24.156417846679688	ci	1.7	v	20.362	20.35110629045806	i	1.668	1.6436784420289856	p	33.979	33.45057252808894	e	-0.010955858545564467	-0.027321557971014432
1395320219.082968	27.79341983795166	ci	2.0	v	20.35	20.336238348335947	i	1.95	1.9431236413043478	p	39.682	39.51582550985166	e	-0.013761651664054853	-0.006876358695652174
1395320222.730539	31.440773963928223	ci	2.4	v	20.325	20.31775567405747	i	2.35	2.3442672101449276	p	47.763	47.62874913486526	e	-0.007883875716220956	-0.005732789855072529
1395320226.371525	35.08175206184387	ci	2.8	v	20.312	20.29863345000531	i	2.75	2.7454107789855073	p	55.859	55.72633124547795	e	-0.014006099768387514	-0.0045892210144926615
1395320230.008769	38.71900391578674	ci	3.1	v	20.3	20.283188107113126	i	3.093	3.0448559782608697	p	62.803	61.75743922918135	e	-0.017451442660568972	-0.05114402173913035
1395320233.65174	42.361979961395264	ci	3.5	v	20.275	20.263426333287267	i	3.456	3.4459995471014495	p	70.328	69.829961855462	e	-0.01093411693904045	-0.01000045289855045
1395320237.290931	46.00116491317749	ci	3.9	v	20.262	20.243025009687717	i	3.862	3.847143115942029	p	78.137	77.87781431186242	e	-0.01897499031228378	-0.017856884057971367
1395320240.929859	49.64032602310181	ci	4.2	v	20.25	20.22885876634292	i	4.15	4.146588315217391	p	84.037	83.88074939070044	e	-0.021780783430774164	-0.0034116847826091146
1395320244.570308	53.28054094314575	ci	4.6	v	20.225	20.207817892969675	i	4.55	4.5477318840579715	p	92.023	91.90264623999265	e	-0.01654255725663134	-0.002268115942028359
1395320248.005893	56.716126918792725	ci	4.6	v	20.225	20.209736542290752	i	4.55	4.5477318840579715	p	92.023	91.9055547408899	e	-0.015263457709249195	-0.002268115942028359
