0	0
0.631902367	0
1.246493775	0
1.769699156	0
0	0
0.631902367	0
1.246493775	0
1.769699156	0
2.401601523	0
3.475695848	0
3.629596904	0.145
4.621502012	0.19
4.83909389	0.165
6.299791858	0.175
6.067100912	0.18
6.627291441	0.34
7.204792928	0.285
7.818301674	1.125
8.432893082	5
9.046297055	5
9.64240171	5
10.25579404	5
10.85179392	5
11.41199609	5
12.04399159	5
12.63889717	5
13.83100171	5
15.00459621	5
18.00230239	5
18.61569472	5
19.96869687	5
19.77080246	5
20.38539387	5
20.99879785	5
22.24879572	5
22.20829483	5
23.38310005	5
23.36460166	5
24.03239487	5
24.57409864	5
26.02200257	5
25.72919475	5
26.36109712	5
26.97570017	5
27.57179318	4.905
28.13079627	5
28.78119703	5
29.34029326	5
29.97219563	5
30.55089619	5
31.16430016	5
31.77779727	4.985
32.37379715	4.15
32.91550092	4.68
33.53009233	5
34.1434963	3.91
34.73960096	2.785
35.96759634	2.48
36.52659943	2.265
37.14120248	2.565
38.33220107	2.43
39.33219705	2.46
39.54279236	2.595
41.01039376	2.515
40.76969344	2.515
41.38419172	2.25
41.98029637	2.365
42.52200015	2.68
43.15390252	2.96
43.74879645	2.82
44.3633995	2.785
44.90509164	2.62
45.51849561	2.39
46.11460026	2.565
46.72799259	2.29
47.32409725	2.83
47.90159874	2.85
48.49769175	2.99
49.09369163	2.535
49.70720038	2.54
50.32179179	2.535
50.93519576	2.66
51.49539793	2.57
52.09139781	2.875
52.70489492	2.72
53.3008948	2.94
53.85989789	2.69
54.47450094	2.48
55.08799804	2.45
55.68399793	2.27
56.58909213	2.395
56.85759243	2.535
57.73489829	2.885
58.06710105	2.29
59.41319978	2.49
59.27659804	1.755
60.73259283	1.78
60.45019254	1.775
61.0462972	2.07
61.66090025	2.06
62.23840173	2.05
62.81599635	1.895
63.41199623	1.605
64.02549334	1.765
64.63999161	1.845
65.23489719	1.475
65.84950024	1.905
66.44559326	1.85
67.00459635	1.695
67.6191994	1.905
68.21409333	1.75
68.82869639	1.92
69.44210036	1.77
70.03819337	2.045
70.63419325	1.75
71.26620039	2.11
71.789301	1.865
72.40389241	1.81
73.01740116	1.905
73.61340104	2.03
74.22679337	1.885
75.36229677	1.695
75.436302	1.98
76.49649633	1.825
76.61000127	1.925
77.81599415	1.7
77.82059256	1.84
78.39809405	1.81
78.97570031	1.885
79.58909264	1.89
80.22099501	1.905
80.79980034	2.175
81.35879179	1.86
81.99069416	1.985
82.58679882	1.885
83.20020279	2.11
83.8147942	1.705
84.41089885	2.07
84.96990195	1.755
85.60179267	1.86
86.17939893	1.81
87.39000186	1.735
89.17709347	1.85
89.77309335	1.895
90.98260198	1.595
91.54279251	1.875
92.13769808	1.695
92.73380274	2.035
93.76499802	1.865
93.96179812	1.85
94.57520209	1.705
95.11689423	1.875
96.76269256	1.815
96.32749716	1.64
97.55439823	1.82
98.16900128	1.95
98.76500117	1.705
99.32409739	1.79
99.93870044	1.765
100.5520928	1.875
101.1480927	1.865
101.7256989	1.86
102.3760997	1.9
102.8992934	1.865
103.5311958	1.75
104.1446929	1.845
104.7406928	1.85
105.3552958	1.71
105.9142989	1.78
106.5103919	1.775
107.1237959	1.64
107.7383989	1.585
108.334492	1.765
108.9478959	1.705
110.6053009	1.805
110.1758913	1.365
111.3808015	2.045
111.313595	2.065
112.8853997	2.53
112.540496	2.37
113.1550991	2.63
113.7511921	3.07
114.3286936	2.845
114.9061951	3.115
115.5022997	3.53
116.1156921	2.98
116.7302951	2.815
117.3436991	3.21
117.9397921	2.655
118.5531961	2.995
119.1133983	2.71
119.7094913	3.31
120.3043968	2.74
120.9362992	2.925
121.4965014	2.505
122.0925944	2.94
122.6885943	2.84
123.3020914	2.905
123.9154954	3.205
124.5116	2.925
125.1261914	3.225
125.7036929	3.155
126.2811944	2.875
127.1446934	2.73
127.4906914	2.77
128.8344967	2.785
128.6829007	3.355
129.9686963	3.045
129.8737945	3.34
130.4883976	2.655
131.0845022	2.39
131.6793961	2.97
132.2755008	3.03
132.8715007	3.38
133.4675937	3.42
134.0809977	3.14
134.6956007	2.855
135.2372929	3.195
135.8506968	2.775
136.4468015	2.85
137.0601938	2.925
137.6747969	2.845
138.2882008	3.805
138.8483914	5
139.4432969	5
140.0392968	5
140.6712923	5
141.2858954	5
141.808996	5
142.4409915	5
143.0369914	5
143.633096	5
144.4131951	5
144.8598923	5
146.0913918	5
146.0161991	5
147.4109013	5
147.2441945	5
147.8391001	5
148.4536915	5
148.9953953	5
149.6087993	5
150.2234023	5
150.8182962	5
151.4501986	5
152.0462916	5
152.6422915	5
153.2024937	5
153.7973993	5
154.4293948	5
155.0254994	5
155.6399977	5
156.1817015	5
156.7950938	5
157.4086025	3.41
158.0046024	3.275
158.6191938	3.075
159.2140994	3.615
159.7557915	3.38
160.3703946	3.75
161.002297	3.335
161.8552953	3.58
162.2117939	3.575
163.5335968	3.505
163.3669017	3.675
164.6793913	4.06
164.577493	3.84
166.1723945	3.925
165.7870016	3.97
166.4003939	3.515
167.014997	3.725
167.5740932	3.42
168.1700931	3.615
168.7846961	3.335
169.3981001	3.995
169.9941931	4.01
170.5358969	3.61
171.1493009	3.28
171.7811916	3.565
172.3587979	3.075
172.9734009	3.895
173.5867932	3.52
174.1828979	3.53
174.7603994	3.52
175.3564924	3.44
175.9698964	3.55
176.5844994	3.275
177.1805924	3.615
177.9085957	3.445
178.3899963	3.59
179.6677941	3.845
179.5636024	3.63
180.8020985	3.27
180.7730994	3.64
182.0010948	3.955
182.5971995	3.59
