1395147856.131967	ci	0.0	v	20.125	20.093432348687113	i	0.031	0.3701513846753177	p	1.257	7.446607555649792	
1395147857.380051	ci	0.0	v	20.125	20.117735240087416	i	0.05	0.3701513846753177	p	1.006	7.446607555649792	
1395147858.631932	ci	0.0	v	20.125	20.118374789861107	i	0.037	0.3701513846753177	p	0.754	7.446844285884093	
1395147859.883081	ci	0.0	v	20.125	20.118374789861107	i	0.062	0.3701513846753177	p	1.257	7.446844285884093	
1395147861.131859	ci	0.0	v	20.125	20.118374789861107	i	0.075	0.3701513846753177	p	1.509	7.446844285884093	
1395147862.379287	ci	0.0	v	20.125	20.118374789861107	i	0.05	0.3701513846753177	p	1.006	7.447081016118394	
1395147863.632684	ci	0.0	v	20.125	20.1190143396348	i	0.05	0.3701513846753177	p	1.006	7.447081016118394	
1395147864.882156	ci	0.0	v	20.125	20.117735240087416	i	0.05	0.3701513846753177	p	1.006	7.446607555649792	
1395147866.33739	ci	1.0	v	20.087	20.117735240087416	i	0.981	1.0046909130323354	p	19.71	20.186403792663796	
1395147867.586561	ci	1.0	v	20.087	20.092153249139727	i	0.975	1.0046909130323354	p	19.585	20.186403792663796	
1395147868.835943	ci	1.0	v	20.087	20.092153249139727	
